size,run,method,time_ms
262144,3,radixsort_non_pow2,41.5457
262144,4,cpu_pow2,13.9735
262144,4,cpu_non_pow2,14.0254
262144,4,radixsort_pow2,40.2047
262144,4,radixsort_non_pow2,40.2706
262144,5,cpu_pow2,13.9074
262144,5,cpu_non_pow2,13.3946
262144,5,radixsort_pow2,38.8272
262144,5,radixsort_non_pow2,41.7732
262144,6,cpu_pow2,13.458
262144,6,cpu_non_pow2,13.7582
262144,6,radixsort_pow2,39.9342
262144,6,radixsort_non_pow2,40.7908
262144,7,cpu_pow2,13.5681
262144,7,cpu_non_pow2,13.6886
262144,7,radixsort_pow2,39.9582
262144,7,radixsort_non_pow2,39.2651
262144,8,cpu_pow2,13.7044
262144,8,cpu_non_pow2,13.9067
262144,8,radixsort_pow2,38.0496
262144,8,radixsort_non_pow2,40.6629
262144,9,cpu_pow2,13.6174
262144,9,cpu_non_pow2,13.695
262144,9,radixsort_pow2,40.1017
262144,9,radixsort_non_pow2,41.0712
262144,10,cpu_pow2,13.7482
262144,10,cpu_non_pow2,13.6265
262144,10,radixsort_pow2,40.3364
262144,10,radixsort_non_pow2,40.5949
524288,1,cpu_pow2,26.2559
524288,1,cpu_non_pow2,25.7275
524288,1,radixsort_pow2,46.9112
524288,1,radixsort_non_pow2,46.1847
524288,2,cpu_pow2,26.1733
524288,2,cpu_non_pow2,26.8918
524288,2,radixsort_pow2,45.3429
524288,2,radixsort_non_pow2,45.25
524288,3,cpu_pow2,25.4766
524288,3,cpu_non_pow2,25.8535
524288,3,radixsort_pow2,46.8657
524288,3,radixsort_non_pow2,46.1959
524288,4,cpu_pow2,26.2441
524288,4,cpu_non_pow2,25.7427
524288,4,radixsort_pow2,46.509
524288,4,radixsort_non_pow2,46.7176
524288,5,cpu_pow2,26.3006
524288,5,cpu_non_pow2,26.7468
524288,5,radixsort_pow2,47.9771
524288,5,radixsort_non_pow2,50.4236
524288,6,cpu_pow2,26.7854
524288,6,cpu_non_pow2,26.0227
524288,6,radixsort_pow2,47.1139
524288,6,radixsort_non_pow2,47.5199
524288,7,cpu_pow2,25.9513
524288,7,cpu_non_pow2,25.5866
524288,7,radixsort_pow2,46.8894
524288,7,radixsort_non_pow2,47.2251
524288,8,cpu_pow2,25.8295
524288,8,cpu_non_pow2,26.082
524288,8,radixsort_pow2,46.4053
524288,8,radixsort_non_pow2,48.3841
524288,9,cpu_pow2,26.0114
524288,9,cpu_non_pow2,25.8691
524288,9,radixsort_pow2,50.2007
524288,9,radixsort_non_pow2,46.5084
524288,10,cpu_pow2,26.3342
524288,10,cpu_non_pow2,25.7634
524288,10,radixsort_pow2,43.8896
524288,10,radixsort_non_pow2,46.1819
1048576,1,cpu_pow2,51.725
1048576,1,cpu_non_pow2,51.8295
1048576,1,radixsort_pow2,51.6252
1048576,1,radixsort_non_pow2,50.9465
1048576,2,cpu_pow2,51.2834
1048576,2,cpu_non_pow2,49.5117
1048576,2,radixsort_pow2,50.2353
1048576,2,radixsort_non_pow2,50.6454
1048576,3,cpu_pow2,50.8451
1048576,3,cpu_non_pow2,51.7985
1048576,3,radixsort_pow2,50.0359
1048576,3,radixsort_non_pow2,51.182
1048576,4,cpu_pow2,50.7828
1048576,4,cpu_non_pow2,51.3079
1048576,4,radixsort_pow2,49.7542
1048576,4,radixsort_non_pow2,50.2588
1048576,5,cpu_pow2,50.5902
1048576,5,cpu_non_pow2,49.7813
1048576,5,radixsort_pow2,50.2263
1048576,5,radixsort_non_pow2,50.1767
1048576,6,cpu_pow2,49.979
1048576,6,cpu_non_pow2,50.7429
1048576,6,radixsort_pow2,49.4942
1048576,6,radixsort_non_pow2,49.4941
1048576,7,cpu_pow2,51.1298
1048576,7,cpu_non_pow2,52.1358
1048576,7,radixsort_pow2,50.1065
1048576,7,radixsort_non_pow2,51.6395
1048576,8,cpu_pow2,50.1754
1048576,8,cpu_non_pow2,50.5928
1048576,8,radixsort_pow2,49.076
1048576,8,radixsort_non_pow2,52.1901
1048576,9,cpu_pow2,50.7922
1048576,9,cpu_non_pow2,50.5043
1048576,9,radixsort_pow2,50.7409
1048576,9,radixsort_non_pow2,50.9494
1048576,10,cpu_pow2,49.3953
1048576,10,cpu_non_pow2,50.3009
1048576,10,radixsort_pow2,50.0728
1048576,10,radixsort_non_pow2,50.6073
2097152,1,cpu_pow2,99.2969
2097152,1,cpu_non_pow2,98.844
2097152,1,radixsort_pow2,57.5874
2097152,1,radixsort_non_pow2,56.3668
2097152,2,cpu_pow2,98.2919
2097152,2,cpu_non_pow2,99.0055
2097152,2,radixsort_pow2,58.1849
2097152,2,radixsort_non_pow2,57.1159
2097152,3,cpu_pow2,99.7459
2097152,3,cpu_non_pow2,100.664
2097152,3,radixsort_pow2,56.7805
2097152,3,radixsort_non_pow2,56.1347
2097152,4,cpu_pow2,99.5306
2097152,4,cpu_non_pow2,101.685
2097152,4,radixsort_pow2,58.3835
2097152,4,radixsort_non_pow2,57.0717
2097152,5,cpu_pow2,100.764
2097152,5,cpu_non_pow2,101.344
2097152,5,radixsort_pow2,57.3329
2097152,5,radixsort_non_pow2,58.6157
2097152,6,cpu_pow2,102.15
2097152,6,cpu_non_pow2,101.258
2097152,6,radixsort_pow2,57.9577
2097152,6,radixsort_non_pow2,58.5743
2097152,7,cpu_pow2,98.6016
2097152,7,cpu_non_pow2,98.6839
2097152,7,radixsort_pow2,56.3813
2097152,7,radixsort_non_pow2,58.0832
2097152,8,cpu_pow2,99.5248
2097152,8,cpu_non_pow2,101.089
2097152,8,radixsort_pow2,57.4688
2097152,8,radixsort_non_pow2,58.6643
2097152,9,cpu_pow2,100.417
2097152,9,cpu_non_pow2,98.967
2097152,9,radixsort_pow2,55.6776
2097152,9,radixsort_non_pow2,57.4975
2097152,10,cpu_pow2,102.541
2097152,10,cpu_non_pow2,101.076
2097152,10,radixsort_pow2,57.8341
2097152,10,radixsort_non_pow2,57.5494
4194304,1,cpu_pow2,195.23
4194304,1,cpu_non_pow2,194.335
4194304,1,radixsort_pow2,73.6001
4194304,1,radixsort_non_pow2,74.0202
4194304,2,cpu_pow2,195.094
4194304,2,cpu_non_pow2,190.167
4194304,2,radixsort_pow2,72.3023
4194304,2,radixsort_non_pow2,77.5372
4194304,3,cpu_pow2,197.997
4194304,3,cpu_non_pow2,193.224
4194304,3,radixsort_pow2,72.8361
4194304,3,radixsort_non_pow2,75.0703
4194304,4,cpu_pow2,195.771
4194304,4,cpu_non_pow2,196.456
4194304,4,radixsort_pow2,75.5524
4194304,4,radixsort_non_pow2,73.361
4194304,5,cpu_pow2,195.885
4194304,5,cpu_non_pow2,193.249
4194304,5,radixsort_pow2,74.1706
4194304,5,radixsort_non_pow2,73.4458
4194304,6,cpu_pow2,198.366
4194304,6,cpu_non_pow2,197.27
4194304,6,radixsort_pow2,73.3776
4194304,6,radixsort_non_pow2,72.547
4194304,7,cpu_pow2,199.973
4194304,7,cpu_non_pow2,195.923
4194304,7,radixsort_pow2,74.1127
4194304,7,radixsort_non_pow2,73.2485
4194304,8,cpu_pow2,194.349
4194304,8,cpu_non_pow2,195.795
4194304,8,radixsort_pow2,72.7879
4194304,8,radixsort_non_pow2,73.6293
4194304,9,cpu_pow2,199.44
4194304,9,cpu_non_pow2,196.657
4194304,9,radixsort_pow2,73.8464
4194304,9,radixsort_non_pow2,73.5133
4194304,10,cpu_pow2,196.2
4194304,10,cpu_non_pow2,195.402
4194304,10,radixsort_pow2,73.7365
4194304,10,radixsort_non_pow2,73.4385
8388608,1,cpu_pow2,389.795
8388608,1,cpu_non_pow2,401.727
8388608,1,radixsort_pow2,107.963
8388608,1,radixsort_non_pow2,105.163
8388608,2,cpu_pow2,385.408
8388608,2,cpu_non_pow2,383.691
8388608,2,radixsort_pow2,105.487
8388608,2,radixsort_non_pow2,105.208
8388608,3,cpu_pow2,391.59
8388608,3,cpu_non_pow2,374.424
8388608,3,radixsort_pow2,104.287
8388608,3,radixsort_non_pow2,107.228
8388608,4,cpu_pow2,377.539
8388608,4,cpu_non_pow2,395.694
8388608,4,radixsort_pow2,104.934
8388608,4,radixsort_non_pow2,108.62
8388608,5,cpu_pow2,383.13
8388608,5,cpu_non_pow2,387.813
8388608,5,radixsort_pow2,105.347
8388608,5,radixsort_non_pow2,102.123
8388608,6,cpu_pow2,393.158
8388608,6,cpu_non_pow2,387.59
8388608,6,radixsort_pow2,104.947
8388608,6,radixsort_non_pow2,105.546
8388608,7,cpu_pow2,393.783
8388608,7,cpu_non_pow2,398.769
8388608,7,radixsort_pow2,106.472
8388608,7,radixsort_non_pow2,104.916
8388608,8,cpu_pow2,380.899
8388608,8,cpu_non_pow2,385.233
8388608,8,radixsort_pow2,104.837
8388608,8,radixsort_non_pow2,108.965
8388608,9,cpu_pow2,388.114
8388608,9,cpu_non_pow2,383.582
8388608,9,radixsort_pow2,104.838
8388608,9,radixsort_non_pow2,107.71
8388608,10,cpu_pow2,385.488
8388608,10,cpu_non_pow2,378.217
8388608,10,radixsort_pow2,104.353
8388608,10,radixsort_non_pow2,104.079
16777216,1,cpu_pow2,774.947
16777216,1,cpu_non_pow2,760.568
16777216,1,radixsort_pow2,169.911
16777216,1,radixsort_non_pow2,160.96
16777216,2,cpu_pow2,767.042
16777216,2,cpu_non_pow2,755.257
16777216,2,radixsort_pow2,167.325
16777216,2,radixsort_non_pow2,159.101
16777216,3,cpu_pow2,767.151
16777216,3,cpu_non_pow2,761.937
16777216,3,radixsort_pow2,168.185
16777216,3,radixsort_non_pow2,162.628
16777216,4,cpu_pow2,765.656
16777216,4,cpu_non_pow2,772.266
16777216,4,radixsort_pow2,167.013
16777216,4,radixsort_non_pow2,159.146
16777216,5,cpu_pow2,770.765
16777216,5,cpu_non_pow2,765.667
16777216,5,radixsort_pow2,166.513
16777216,5,radixsort_non_pow2,160.025
16777216,6,cpu_pow2,762.95
16777216,6,cpu_non_pow2,770.438
16777216,6,radixsort_pow2,167.253
16777216,6,radixsort_non_pow2,169.067
16777216,7,cpu_pow2,759.056
16777216,7,cpu_non_pow2,761.054
16777216,7,radixsort_pow2,167.528
16777216,7,radixsort_non_pow2,158.333
16777216,8,cpu_pow2,753.022
16777216,8,cpu_non_pow2,753.03
16777216,8,radixsort_pow2,168.375
16777216,8,radixsort_non_pow2,162.041
16777216,9,cpu_pow2,756.446
16777216,9,cpu_non_pow2,764.814
16777216,9,radixsort_pow2,166.933
16777216,9,radixsort_non_pow2,159.813
16777216,10,cpu_pow2,775.042
16777216,10,cpu_non_pow2,759.894
16777216,10,radixsort_pow2,166.249
16777216,10,radixsort_non_pow2,161.447
33554432,1,cpu_pow2,1539.45
33554432,1,cpu_non_pow2,1523.08
33554432,1,radixsort_pow2,290.056
33554432,1,radixsort_non_pow2,279.519
33554432,2,cpu_pow2,1533.33
33554432,2,cpu_non_pow2,1492.94
33554432,2,radixsort_pow2,286.482
33554432,2,radixsort_non_pow2,278.727
33554432,3,cpu_pow2,1518.03
33554432,3,cpu_non_pow2,1520.47
33554432,3,radixsort_pow2,286.96
33554432,3,radixsort_non_pow2,279.168
33554432,4,cpu_pow2,1513.25
33554432,4,cpu_non_pow2,1515.85
33554432,4,radixsort_pow2,290.399
33554432,4,radixsort_non_pow2,279.422
33554432,5,cpu_pow2,1516.88
33554432,5,cpu_non_pow2,1507.03
33554432,5,radixsort_pow2,287.379
33554432,5,radixsort_non_pow2,303.782
33554432,6,cpu_pow2,1526.54
33554432,6,cpu_non_pow2,1518.3
33554432,6,radixsort_pow2,292.845
33554432,6,radixsort_non_pow2,279.78
33554432,7,cpu_pow2,1516.4
33554432,7,cpu_non_pow2,1501.75
33554432,7,radixsort_pow2,285.407
33554432,7,radixsort_non_pow2,278.723
33554432,8,cpu_pow2,1539.81
33554432,8,cpu_non_pow2,1504.19
33554432,8,radixsort_pow2,285.582
33554432,8,radixsort_non_pow2,278.672
33554432,9,cpu_pow2,1505.77
33554432,9,cpu_non_pow2,1536.85
33554432,9,radixsort_pow2,290.809
