size,run,suite,method,time_s,time_ms
131072,2,scan,scan_work_efficient_pow2,0.23776,237.76
131072,2,scan,scan_work_efficient_non_pow2,0.068608,68.608
131072,2,scan,scan_thrust_pow2,0.132096,132.096
131072,2,scan,scan_thrust_non_pow2,0.045056,45.056
131072,2,compact,compact_cpu_without_scan_pow2,0.2289,228.9
131072,2,compact,compact_cpu_without_scan_non_pow2,0.2181,218.1
131072,2,compact,compact_cpu_with_scan,0.3837,383.7
131072,2,compact,compact_work_efficient_pow2,0.231712,231.712
131072,2,compact,compact_work_efficient_non_pow2,0.162816,162.816
131072,3,scan,scan_cpu_pow2,0.0716,71.6
131072,3,scan,scan_cpu_non_pow2,0.0612,61.199999999999996
131072,3,scan,scan_naive_pow2,0.571392,571.392
131072,3,scan,scan_naive_non_pow2,0.338112,338.112
131072,3,scan,scan_work_efficient_pow2,0.177792,177.792
131072,3,scan,scan_work_efficient_non_pow2,0.057344,57.344
131072,3,scan,scan_thrust_pow2,0.160768,160.768
131072,3,scan,scan_thrust_non_pow2,0.048128,48.128
131072,3,compact,compact_cpu_without_scan_pow2,0.226,226.0
131072,3,compact,compact_cpu_without_scan_non_pow2,0.2171,217.1
131072,3,compact,compact_cpu_with_scan,0.3918,391.79999999999995
131072,3,compact,compact_work_efficient_pow2,0.23936,239.35999999999999
131072,3,compact,compact_work_efficient_non_pow2,0.08704,87.04
131072,4,scan,scan_cpu_pow2,0.0672,67.2
131072,4,scan,scan_cpu_non_pow2,0.0507,50.7
131072,4,scan,scan_naive_pow2,1.22704,1227.04
131072,4,scan,scan_naive_non_pow2,0.41136,411.36
131072,4,scan,scan_work_efficient_pow2,0.181312,181.312
131072,4,scan,scan_work_efficient_non_pow2,0.105472,105.472
131072,4,scan,scan_thrust_pow2,0.106496,106.496
131072,4,scan,scan_thrust_non_pow2,0.045056,45.056
131072,4,compact,compact_cpu_without_scan_pow2,0.2274,227.39999999999998
